vmacro00001	sp|O48920|ARF_VIGUN
vmacro00043	sp|Q9LVU1|VAP21_ARATH
vmacro00043	sp|Q9LVU1|VAP21_ARATH
vmacro00044	sp|Q9LD45|BI1_ARATH
vmacro00045	sp|Q9LN59|WAKLK_ARATH
vmacro00049	sp|Q8W4H1|GAT26_ARATH
vmacro00050	sp|F4KD71|DUR3_ARATH
vmacro00051	sp|Q9C6S1|FH14_ARATH
vmacro00051	sp|Q9C6S1|FH14_ARATH
vmacro00053	sp|O04066|ACBP_RICCO
vmacro00054	sp|Q9C6S5|PHSB_ARATH
vmacro00055	sp|Q9SND6|M3K20_ARATH
vmacro00056	sp|Q9SND6|M3K20_ARATH
vmacro00057	sp|Q5BPS3|DOR_ARATH
vmacro00058	sp|Q84WU2|UBP13_ARATH
vmacro00058	sp|Q84WU2|UBP13_ARATH
vmacro00059	sp|Q8VZT8|RT11_ARATH
vmacro00060	sp|Q2HIW2|MAPR4_ARATH
vmacro00061	sp|Q94B60|CLPP4_ARATH
vmacro00062	sp|A9XMT3|CCLOP_LOTJA
vmacro00064	sp|Q9FHJ6|RFA1C_ARATH
vmacro00065	sp|Q94II3|PMTL_ARATH
vmacro00066	sp|Q9LYG9|MSL10_ARATH
vmacro00067	sp|Q6Z8C8|CDKF4_ORYSJ
vmacro00068	sp|Q17TI5|BRX_ARATH
vmacro00069	sp|O49668|PAM68_ARATH
vmacro00070	sp|P42735|CDI8_ARATH
vmacro00071	sp|Q6NS09|TM45B_XENLA
vmacro00072	sp|Q7XA40|RGA3_SOLBU
vmacro00072	sp|Q7XA40|RGA3_SOLBU
vmacro00073	sp|C0SVS4|PHLB_ARATH
vmacro00074	sp|Q7G6K7|FH3_ORYSJ
vmacro00074	sp|Q7G6K7|FH3_ORYSJ
vmacro00075	sp|F4KD71|DUR3_ARATH
vmacro00076	sp|Q39219|AOX1A_ARATH
vmacro00077	sp|Q39219|AOX1A_ARATH
vmacro00079	sp|Q9F234|AGL2_BACTQ
vmacro00081	sp|Q7X6P3|RUS1_ARATH
vmacro00082	sp|Q7XA40|RGA3_SOLBU
vmacro00082	sp|Q7XA40|RGA3_SOLBU
vmacro00083	sp|P0C870|JMJD7_HUMAN
vmacro00084	sp|Q9C6R9|PPR66_ARATH
vmacro00085	sp|Q6NMI3|COG6_ARATH
vmacro00085	sp|Q6NMI3|COG6_ARATH
vmacro00086	sp|F4KD68|WTR43_ARATH
vmacro00087	sp|Q8W4R9|WTR35_ARATH
vmacro00087	sp|Q8W4R9|WTR35_ARATH
vmacro00088	sp|O13663|GPI13_SCHPO
vmacro00089	sp|Q8TEQ8|PIGO_HUMAN
vmacro00090	sp|Q9C6W5|AB14G_ARATH
vmacro00091	sp|Q8VZ67|Y4919_ARATH
vmacro00092	sp|Q08747|UAF30_YEAST
vmacro00093	sp|P37705|GRP3_DAUCA
vmacro00094	sp|O49680|PP324_ARATH
vmacro00094	sp|O49680|PP324_ARATH
vmacro00095	sp|Q8VXZ5|XG113_ARATH
vmacro00096	sp|K4CI52|ABAH2_SOLLC
vmacro00098	sp|Q8L7A9|AP4E_ARATH
vmacro00099	sp|Q9C658|DCP5_ARATH
vmacro00099	sp|Q9C658|DCP5_ARATH
vmacro00100	sp|A2RVU1|MWL1_ARATH
vmacro00102	sp|Q8VYE2|TIM50_ARATH
vmacro00103	sp|Q9FVX2|PP129_ARATH
vmacro00104	sp|Q9SJ54|NHL12_ARATH
vmacro00105	sp|A0A2R6Q326|AT16_ACTCC
vmacro00106	sp|P0DO26|AT17_ACTDE
vmacro00107	sp|Q56WM6|ROGFE_ARATH
vmacro00108	sp|Q8RWY1|ALKB8_ARATH
vmacro00109	sp|Q9FH80|BAM8_ARATH
vmacro00110	sp|Q9FNQ1|DEXHE_ARATH
vmacro00110	sp|Q9FNQ1|DEXHE_ARATH
vmacro00111	sp|Q9M622|RMR1_ARATH
vmacro00112	sp|P51398|RT29_HUMAN
vmacro00113	sp|Q9SC14|DHYS_SENVE
vmacro00114	sp|Q6DBP4|PAE8_ARATH
vmacro00115	sp|A8MS41|CCR4D_ARATH
vmacro00117	sp|Q59002|Y1607_METJA
vmacro00118	sp|Q40467|IF414_TOBAC
vmacro00119	sp|Q40467|IF414_TOBAC
vmacro00120	sp|Q8L736|SKI11_ARATH
vmacro00121	sp|Q8L736|SKI11_ARATH
vmacro00121	sp|Q8L736|SKI11_ARATH
vmacro00122	sp|Q40467|IF414_TOBAC
vmacro00123	sp|Q8RWH8|NIPA9_ARATH
vmacro00124	sp|Q84MC2|LOG8_ARATH
vmacro00125	sp|Q7XA39|RGA4_SOLBU
vmacro00125	sp|Q7XA39|RGA4_SOLBU
vmacro00125	sp|Q7XA39|RGA4_SOLBU
vmacro00125	sp|Q7XA39|RGA4_SOLBU
vmacro00126	sp|Q7XA40|RGA3_SOLBU
vmacro00127	sp|O82645|IQM1_ARATH
vmacro00128	sp|Q9SF32|IQD1_ARATH
vmacro00129	sp|B9DFU2|MAX1_ARATH
vmacro00130	sp|P41152|HSF30_SOLPE
vmacro00131	sp|Q29PZ1|GRC10_ARATH
vmacro00132	sp|Q9FM86|ADT5_ARATH
vmacro00133	sp|Q9FM86|ADT5_ARATH
vmacro00134	sp|Q67XZ3|INV3_ARATH
vmacro00135	sp|Q43866|INV1_ARATH
vmacro00135	sp|Q43866|INV1_ARATH
vmacro00136	sp|B3H4P1|PP450_ARATH
vmacro00137	sp|Q8H1F5|IDD7_ARATH
vmacro00138	sp|O04353|DES6_BOROF
vmacro00139	sp|Q9ZVD2|NHL13_ARATH
vmacro00140	sp|F4K956|A70_ARATH
vmacro00141	sp|Q9SV84|NIP51_ARATH
vmacro00142	sp|O49954|GCSP_SOLTU
vmacro00144	sp|F4ITL6|RTE1_ARATH
vmacro00145	sp|Q944K3|HDA2_ARATH
vmacro00145	sp|Q944K3|HDA2_ARATH
vmacro00146	sp|B5X0N6|KEA6_ARATH
vmacro00146	sp|B5X0N6|KEA6_ARATH
vmacro00147	sp|Q7XC57|MYBS3_ORYSJ
vmacro00148	sp|Q9M9Q6|SCP50_ARATH
vmacro00149	sp|Q7XC57|MYBS3_ORYSJ
vmacro00150	sp|P48731|ATH1_ARATH
vmacro00151	sp|Q9ASU8|NDL2_ARATH
vmacro00152	sp|Q9SI54|LSM7_ARATH
vmacro00154	sp|Q3U0V1|FUBP2_MOUSE
vmacro00154	sp|Q3U0V1|FUBP2_MOUSE
vmacro00154	sp|Q3U0V1|FUBP2_MOUSE
vmacro00154	sp|Q3U0V1|FUBP2_MOUSE
vmacro00154	sp|Q3U0V1|FUBP2_MOUSE
vmacro00155	sp|Q3U0V1|FUBP2_MOUSE
vmacro00155	sp|Q3U0V1|FUBP2_MOUSE
vmacro00157	sp|P42045|HEMH_HORVU
vmacro00159	sp|Q94JQ3|GLYP3_ARATH
vmacro00159	sp|Q94JQ3|GLYP3_ARATH
vmacro00160	sp|Q9GZP4|PITH1_HUMAN
vmacro00162	sp|Q9XGZ9|P2C72_ARATH
vmacro00164	sp|O65268|TASP1_ARATH
vmacro00166	sp|P49043|VPE_CITSI
vmacro00168	sp|Q65XS5|BC10_ORYSJ
vmacro00169	sp|Q9ZVX4|U90A1_ARATH
vmacro00170	sp|Q9ZVX4|U90A1_ARATH
vmacro00171	sp|Q9ZVX4|U90A1_ARATH
vmacro00172	sp|Q9SU30|CPR1_ARATH
vmacro00174	sp|O82804|ELF3_ARATH
vmacro00175	sp|Q9M0G2|C3H49_ARATH
vmacro00176	sp|Q8L799|MIOX1_ARATH
vmacro00177	sp|Q8L799|MIOX1_ARATH
vmacro00180	sp|F4JV59|CABIN_ARATH
vmacro00181	sp|O65812|PROF1_HEVBR
vmacro00182	sp|Q8L5Z4|YBEY_ARATH
vmacro00183	sp|Q8VYW1|PAPS4_ARATH
vmacro00184	sp|Q9SGP2|HSL1_ARATH
vmacro00185	sp|Q8GXC7|FBK50_ARATH
vmacro00186	sp|B9DFV2|PQT3L_ARATH
vmacro00187	sp|O82528|RL15_PETHY
vmacro00188	sp|Q9WYP5|IOLG_THEMA
vmacro00189	sp|F4JP48|MSH4_ARATH
vmacro00189	sp|F4JP48|MSH4_ARATH
vmacro00190	sp|Q84V22|PSD1_ARATH
vmacro00191	sp|Q84V22|PSD1_ARATH
vmacro00193	sp|Q93YQ3|PURU1_ARATH
vmacro00194	sp|Q8W4K5|VAB_ARATH
vmacro00196	sp|Q8LPF8|OFT29_ARATH
vmacro00197	sp|Q8GWW6|4MMP_ARATH
vmacro00198	sp|Q8LPF3|PME68_ARATH
vmacro00199	sp|F4JMI5|GUX7_ARATH
vmacro00200	sp|Q949W6|KAKU4_ARATH
vmacro00200	sp|Q949W6|KAKU4_ARATH
vmacro00201	sp|F4JPR7|PUX8_ARATH
vmacro00202	sp|Q9SJA1|UBP19_ARATH
vmacro00202	sp|Q9SJA1|UBP19_ARATH
vmacro00203	sp|Q0WPU1|MYO15_ARATH
vmacro00204	sp|Q0WPU1|MYO15_ARATH
vmacro00205	sp|Q0WPU1|MYO15_ARATH
vmacro00206	sp|Q0WPU1|MYO15_ARATH
vmacro00207	sp|Q69KL9|RZ21A_ORYSJ
vmacro00208	sp|O64843|CID7_ARATH
vmacro00208	sp|O64843|CID7_ARATH
vmacro00209	sp|Q9FE62|YLS8_ARATH
vmacro00210	sp|Q42371|ERECT_ARATH
vmacro00211	sp|B5BT18|BTAF1_ARATH
vmacro00212	sp|B5BT18|BTAF1_ARATH
vmacro00213	sp|B5BT18|BTAF1_ARATH
vmacro00214	sp|Q76LS9|MINY1_MOUSE
vmacro00214	sp|Q76LS9|MINY1_MOUSE
vmacro00215	sp|Q8VYY4|BASS6_ARATH
vmacro00216	sp|Q55720|YC49L_SYNY3
vmacro00217	sp|Q9LZX5|ZPR2_ARATH
vmacro00218	sp|Q9XJ36|CLPR2_ARATH
vmacro00218	sp|Q9XJ36|CLPR2_ARATH
vmacro00219	sp|Q56XJ7|Y4276_ARATH
vmacro00220	sp|Q56XJ7|Y4276_ARATH
vmacro00222	sp|Q9LZH9|RL7A2_ARATH
vmacro00223	sp|Q9SB00|PHR_ARATH
vmacro00224	sp|Q9C5X3|KEULE_ARATH
vmacro00226	sp|Q8RY65|NIK2_ARATH
vmacro00227	sp|O81312|GAE3_ARATH
vmacro00228	sp|Q8H1H9|AMO_ARATH
vmacro00229	sp|Q6NLF7|LTPG7_ARATH
vmacro00230	sp|Q43857|INVA_VICFA
vmacro00231	sp|Q9SIT5|CHX15_ARATH
vmacro00233	sp|Q0J7U6|TPR2_ORYSJ
vmacro00235	sp|Q9FVQ5|CSCL1_ARATH
vmacro00236	sp|Q9FVQ4|PLGG1_ARATH
vmacro00237	sp|Q9C6X2|SCAM4_ARATH
vmacro00239	sp|Q8GYA6|PS13B_ARATH
vmacro00240	sp|C0LGP4|Y3475_ARATH
vmacro00241	sp|Q54PW5|DPH1_DICDI
vmacro00242	sp|Q9C516|XLG3_ARATH
vmacro00243	sp|Q9C516|XLG3_ARATH
vmacro00244	sp|Q9C6T2|PPR68_ARATH
vmacro00245	sp|Q9C6T1|PMK_ARATH
vmacro00246	sp|P93604|LRK10_WHEAT
vmacro00246	sp|P93604|LRK10_WHEAT
vmacro00247	sp|Q8RWZ5|SD25_ARATH
vmacro00248	sp|P93604|LRK10_WHEAT
vmacro00249	sp|P93604|LRK10_WHEAT
vmacro00250	sp|P93604|LRK10_WHEAT
vmacro00251	sp|Q3ECH2|LRL28_ARATH
vmacro00252	sp|P93604|LRK10_WHEAT
vmacro00254	sp|A0A3Q7HBJ5|C7A44_SOLLC
vmacro00255	sp|Q9ZUY1|PP173_ARATH
vmacro00256	sp|Q9SCP4|PP279_ARATH
vmacro00257	sp|Q9SCP4|PP279_ARATH
vmacro00257	sp|Q9SCP4|PP279_ARATH
vmacro00257	sp|Q9SCP4|PP279_ARATH
vmacro00257	sp|Q9SCP4|PP279_ARATH
vmacro00257	sp|Q9SCP4|PP279_ARATH
vmacro00258	sp|P93604|LRK10_WHEAT
vmacro00259	sp|Q9ZUY1|PP173_ARATH
vmacro00260	sp|Q9SCP4|PP279_ARATH
vmacro00261	sp|P93604|LRK10_WHEAT
vmacro00262	sp|P93604|LRK10_WHEAT
vmacro00263	sp|Q8VZC9|VPS25_ARATH
vmacro00264	sp|Q9C9G6|AE7_ARATH
vmacro00266	sp|F4ICK8|IWS1_ARATH
vmacro00266	sp|F4ICK8|IWS1_ARATH
vmacro00268	sp|Q7XBQ9|RGA2_SOLBU
vmacro00269	sp|Q9FH28|DNJ49_ARATH
vmacro00270	sp|F6H9N6|C7A15_VITVI
vmacro00270	sp|F6H9N6|C7A15_VITVI
vmacro00271	sp|Q6L438|R1A6_SOLDE
vmacro00272	sp|Q9ZT07|RKS1_ARATH
vmacro00273	sp|Q9ZT07|RKS1_ARATH
vmacro00274	sp|Q9ZT07|RKS1_ARATH
vmacro00275	sp|Q7ZVZ7|AB17C_DANRE
vmacro00276	sp|Q39639|PLSB_CUCSA
vmacro00278	sp|Q9SMC4|DAD1_SOLLC
vmacro00279	sp|Q9FVR6|Y1222_ARATH
vmacro00281	sp|Q8RY59|RCD1_ARATH
vmacro00282	sp|C0LGP4|Y3475_ARATH
vmacro00282	sp|C0LGP4|Y3475_ARATH
vmacro00283	sp|C0LGP4|Y3475_ARATH
vmacro00284	sp|Q9C616|KAN2_ARATH
vmacro00285	sp|Q9C616|KAN2_ARATH
vmacro00286	sp|Q336N8|JM706_ORYSJ
vmacro00287	sp|Q336N8|JM706_ORYSJ
vmacro00288	sp|A2ZAI7|ROC3_ORYSI
vmacro00289	sp|O82291|PAP3_ARATH
vmacro00290	sp|A3BI11|ZIP8_ORYSJ
vmacro00291	sp|Q9LQN4|CML17_ARATH
vmacro00292	sp|Q9SU30|CPR1_ARATH
vmacro00295	sp|Q9LFD5|BPA1_ARATH
vmacro00296	sp|P93654|SYP22_ARATH
vmacro00297	sp|A3BI11|ZIP8_ORYSJ
vmacro00297	sp|A3BI11|ZIP8_ORYSJ
vmacro00298	sp|Q9LQN4|CML17_ARATH
vmacro00299	sp|Q9SU30|CPR1_ARATH
vmacro00302	sp|Q9LFD5|BPA1_ARATH
vmacro00303	sp|P93654|SYP22_ARATH
vmacro00304	sp|Q8TBF5|PIGX_HUMAN
vmacro00305	sp|Q9SD53|Y3720_ARATH
vmacro00305	sp|Q9SD53|Y3720_ARATH
vmacro00306	sp|Q9LQM8|M2K10_ARATH
vmacro00307	sp|Q40152|HSF8_SOLLC
vmacro00308	sp|Q9QWZ1|RAD1_MOUSE
vmacro00309	sp|Q9LFC5|PP360_ARATH
vmacro00309	sp|Q9LFC5|PP360_ARATH
vmacro00309	sp|Q9LFC5|PP360_ARATH
vmacro00309	sp|Q9LFC5|PP360_ARATH
vmacro00310	sp|Q5AHI7|NOP12_CANAL
vmacro00311	sp|Q9S9Z2|MYB93_ARATH
vmacro00312	sp|Q9LJX0|AB19B_ARATH
vmacro00312	sp|Q9LJX0|AB19B_ARATH
vmacro00312	sp|Q9LJX0|AB19B_ARATH
vmacro00313	sp|Q02439|E13F_HORVU
vmacro00315	sp|Q0JKZ0|SNL6_ORYSJ
vmacro00316	sp|O49691|ATL29_ARATH
vmacro00317	sp|Q944R7|ANM16_ARATH
vmacro00318	sp|B3H6K1|Y4791_ARATH
vmacro00318	sp|B3H6K1|Y4791_ARATH
vmacro00319	sp|Q9SK91|BH094_ARATH
vmacro00320	sp|Q7XLY8|ATL41_ORYSJ
vmacro00322	sp|Q04836|CP31A_ARATH
vmacro00322	sp|Q04836|CP31A_ARATH
vmacro00323	sp|Q9FIQ5|TRN2_ARATH
vmacro00325	sp|O65468|CRK8_ARATH
vmacro00326	sp|Q9M8T3|Y2910_ARATH
vmacro00327	sp|Q9FIQ1|UBP21_ARATH
vmacro00328	sp|O82171|AGD10_ARATH
vmacro00330	sp|O82170|IKU1_ARATH
vmacro00330	sp|O82170|IKU1_ARATH
vmacro00331	sp|O49686|PYR1_ARATH
vmacro00333	sp|Q9C5C4|ARGE_ARATH
vmacro00334	sp|Q9FQ20|SCC12_ARATH
vmacro00334	sp|Q9FQ20|SCC12_ARATH
vmacro00334	sp|Q9FQ20|SCC12_ARATH
vmacro00335	sp|Q9LFE0|DOT2_ARATH
vmacro00335	sp|Q9LFE0|DOT2_ARATH
vmacro00335	sp|Q9LFE0|DOT2_ARATH
vmacro00336	sp|Q9LHS9|RBE_ARATH
vmacro00337	sp|O82166|AHL21_ARATH
vmacro00338	sp|Q93ZB1|LOL1_ARATH
vmacro00339	sp|O82162|EYA_ARATH
vmacro00339	sp|O82162|EYA_ARATH
vmacro00340	sp|Q8RX22|MIP1_ARATH
vmacro00341	sp|O49696|ALMTC_ARATH
vmacro00343	sp|O49697|NAC71_ARATH
vmacro00344	sp|O82302|P2C29_ARATH
vmacro00345	sp|Q39732|GCSH_FLAAN
vmacro00346	sp|Q9FUR2|IP5P2_ARATH
vmacro00347	sp|Q9FUR2|IP5P2_ARATH
vmacro00348	sp|Q9C5W7|TOM2A_ARATH
vmacro00349	sp|O64733|U87A2_ARATH
vmacro00349	sp|O64733|U87A2_ARATH
vmacro00350	sp|Q6LA43|APRR2_ARATH
vmacro00351	sp|Q94EJ6|PMTE_ARATH
vmacro00352	sp|P57750|AGM1_ARATH
vmacro00353	sp|Q850K7|EXLB1_ORYSJ
vmacro00354	sp|Q9ZVJ5|SGGP_ARATH
vmacro00355	sp|O49884|RL30_LUPLU
vmacro00356	sp|Q9ZVJ5|SGGP_ARATH
vmacro00357	sp|Q9FNX5|DRP1E_ARATH
vmacro00358	sp|O49726|PUP21_ARATH
vmacro00359	sp|Q9FJR9|NMAT2_ARATH
vmacro00360	sp|Q6NMM1|GOT1_ARATH
vmacro00361	sp|Q8GT41|PLA1_PLAAC
vmacro00364	sp|Q9FJR0|RENT1_ARATH
vmacro00369	sp|Q9FHE4|BRG1_ARATH
vmacro00373	sp|P08688|ALB2_PEA
vmacro00373	sp|P08688|ALB2_PEA
vmacro00374	sp|Q94LW6|SUT35_ARATH
vmacro00374	sp|Q94LW6|SUT35_ARATH
vmacro00375	sp|Q555C6|VP13B_DICDI
vmacro00376	sp|Q503V9|ENDUB_DANRE
vmacro00377	sp|O23553|BAM3_ARATH
vmacro00378	sp|Q9LTC0|PBL19_ARATH
vmacro00379	sp|Q9XHE4|RL37A_GOSHI
vmacro00380	sp|E9PYQ0|RS10B_MOUSE
vmacro00381	sp|P40228|CSK2B_ARATH
vmacro00382	sp|Q9STK7|C71AQ_ARATH
vmacro00383	sp|Q93YU5|SEC8_ARATH
vmacro00384	sp|Q93YU5|SEC8_ARATH
vmacro00385	sp|Q93YU5|SEC8_ARATH
vmacro00386	sp|Q93YU5|SEC8_ARATH
vmacro00386	sp|Q93YU5|SEC8_ARATH
vmacro00388	sp|Q9DBT3|CCD97_MOUSE
vmacro00390	sp|B3H672|PP317_ARATH
vmacro00391	sp|Q9LVI4|TIF6B_ARATH
vmacro00392	sp|Q564G7|GMGT1_CYATE
vmacro00392	sp|Q564G7|GMGT1_CYATE
vmacro00393	sp|F4I4P3|MED23_ARATH
vmacro00393	sp|F4I4P3|MED23_ARATH
vmacro00394	sp|F4I4P3|MED23_ARATH
vmacro00396	sp|Q9LQU4|PCR2_ARATH
vmacro00398	sp|Q9M4G4|PGMC_SOLTU
vmacro00399	sp|Q9C5S9|CRK6_ARATH
vmacro00400	sp|O64782|SD129_ARATH
vmacro00401	sp|Q6EI06|GAIP_CUCMA
vmacro00402	sp|Q8S4W7|GAI1_VITVI
vmacro00403	sp|Q56XJ7|Y4276_ARATH
vmacro00404	sp|Q9SSL1|CAR7_ARATH
vmacro00405	sp|Q88BD4|ALGC_PSESM
vmacro00406	sp|P85524|KIRO_ACTDE
vmacro00407	sp|Q9ZVF3|ML328_ARATH
vmacro00408	sp|O29470|Y788_ARCFU
vmacro00409	sp|P34893|CH10_ARATH
vmacro00410	sp|Q39221|STLP2_ARATH
vmacro00411	sp|Q54R62|UCKC_DICDI
vmacro00411	sp|Q54R62|UCKC_DICDI
vmacro00412	sp|Q9C6Z2|NUD25_ARATH
vmacro00413	sp|Q9FYS5|HMGYA_MAIZE
vmacro00416	sp|Q9M9Q6|SCP50_ARATH
vmacro00418	sp|Q5XGU5|DNJ6B_XENLA
vmacro00419	sp|P0C2F6|RNHX1_ARATH
vmacro00420	sp|A2RVM8|HIP37_ARATH
vmacro00421	sp|Q9C9A2|PP112_ARATH
vmacro00422	sp|Q9ZU35|AB7G_ARATH
vmacro00423	sp|Q9ZU35|AB7G_ARATH
vmacro00424	sp|Q9LFE3|AVT1H_ARATH
vmacro00425	sp|Q9M8Y0|SEC_ARATH
vmacro00425	sp|Q9M8Y0|SEC_ARATH
vmacro00426	sp|F4ISQ7|TOP3B_ARATH
vmacro00427	sp|F4ISQ7|TOP3B_ARATH
vmacro00427	sp|F4ISQ7|TOP3B_ARATH
vmacro00429	sp|P29344|RR1_SPIOL
vmacro00430	sp|Q53P98|SIPL2_ORYSJ
vmacro00432	sp|Q9LK39|AAE16_ARATH
vmacro00433	sp|O23264|SEBP1_ARATH
vmacro00434	sp|Q9SCZ4|FERON_ARATH
vmacro00435	sp|Q9LK37|RLF24_ARATH
vmacro00437	sp|Q84LH3|WEX_ARATH
vmacro00438	sp|Q9LIS3|GAE6_ARATH
vmacro00439	sp|Q9SVM8|RBG2_ARATH
vmacro00440	sp|Q9SIT7|PP151_ARATH
vmacro00440	sp|Q9SIT7|PP151_ARATH
vmacro00441	sp|Q9SVM9|CER26_ARATH
vmacro00442	sp|Q9SDN0|DNJ20_ARATH
vmacro00444	sp|O75691|UTP20_HUMAN
vmacro00444	sp|O75691|UTP20_HUMAN
vmacro00445	sp|Q9LNK7|NIPA3_ARATH
vmacro00446	sp|B3LFA3|NIPA2_ARATH
vmacro00447	sp|Q9LIR9|NIPA1_ARATH
vmacro00449	sp|Q9SD53|Y3720_ARATH
vmacro00450	sp|Q9SCV3|BGAL9_ARATH
vmacro00450	sp|Q9SCV3|BGAL9_ARATH
vmacro00451	sp|Q9SCV3|BGAL9_ARATH
vmacro00452	sp|Q8GYN5|RIN4_ARATH
vmacro00453	sp|Q8N6R0|EFNMT_HUMAN
vmacro00454	sp|F4JTS8|NOV_ARATH
vmacro00454	sp|F4JTS8|NOV_ARATH
vmacro00455	sp|F4JTS8|NOV_ARATH
vmacro00456	sp|F4JTS8|NOV_ARATH
vmacro00457	sp|Q9FNB2|RRL_ARATH
vmacro00457	sp|Q9FNB2|RRL_ARATH
vmacro00459	sp|F4JUL9|ARPC4_ARATH
vmacro00460	sp|Q8GXC7|FBK50_ARATH
vmacro00461	sp|Q9NVG8|TBC13_HUMAN
vmacro00462	sp|Q9FLP6|SUMO2_ARATH
vmacro00463	sp|Q9FLP6|SUMO2_ARATH
vmacro00464	sp|Q9SFU3|PPA15_ARATH
vmacro00465	sp|Q9FNQ2|PDCB1_ARATH
vmacro00466	sp|Q8VZG8|MIK2_ARATH
vmacro00467	sp|Q8VZG8|MIK2_ARATH
vmacro00468	sp|P93472|DIM_PEA
vmacro00469	sp|Q9SVQ0|ERF62_ARATH
vmacro00470	sp|P35135|UBC4_SOLLC
vmacro00471	sp|Q9C9Y7|UBC12_ARATH
vmacro00472	sp|Q9Y2X8|UB2D4_HUMAN
vmacro00473	sp|Q9MAT6|HMG15_ARATH
vmacro00474	sp|Q06445|CYTI_VIGUN
vmacro00475	sp|O48837|LRKS2_ARATH
vmacro00476	sp|Q9LRN6|CML22_ARATH
vmacro00477	sp|Q8LAJ7|PHL3_ARATH
vmacro00478	sp|Q94A57|PHL2_ARATH
vmacro00480	sp|Q9LS04|FB187_ARATH
vmacro00481	sp|Q56YJ8|FAMA_ARATH
vmacro00482	sp|Q56YJ8|FAMA_ARATH
vmacro00483	sp|Q283L0|KRP5_ORYSJ
vmacro00485	sp|A1A6M1|PTAC5_ARATH
vmacro00486	sp|Q5M868|GBA2_RAT
vmacro00486	sp|Q5M868|GBA2_RAT
vmacro00487	sp|Q3E9N1|PP359_ARATH
vmacro00487	sp|Q3E9N1|PP359_ARATH
vmacro00487	sp|Q3E9N1|PP359_ARATH
vmacro00488	sp|Q9LIR8|FBK67_ARATH
vmacro00490	sp|Q9LIR8|FBK67_ARATH
vmacro00491	sp|Q949S5|P2B11_ARATH
vmacro00492	sp|Q8GXC7|FBK50_ARATH
vmacro00493	sp|Q9SFC7|FB135_ARATH
vmacro00495	sp|Q84R16|GT14_ARATH
vmacro00496	sp|Q75KK8|MPK14_ORYSJ
vmacro00496	sp|Q75KK8|MPK14_ORYSJ
vmacro00497	sp|Q9SU30|CPR1_ARATH
vmacro00498	sp|A4YGN0|SUCD_METS5
vmacro00499	sp|Q6NU40|CTF18_XENLA
vmacro00499	sp|Q6NU40|CTF18_XENLA
vmacro00500	sp|O48850|VA725_ARATH
vmacro00501	sp|Q8L730|SDI2_ARATH
vmacro00502	sp|Q8GXU5|SDI1_ARATH
vmacro00503	sp|Q6DF46|COQ6_XENTR
vmacro00504	sp|Q86YJ7|AN13B_HUMAN
vmacro00505	sp|P48386|CHS1_CAMSI
vmacro00506	sp|Q9LIR4|ILVD_ARATH
vmacro00507	sp|Q9LIR4|ILVD_ARATH
vmacro00508	sp|P42762|CLPD_ARATH
vmacro00509	sp|Q9FLP7|FB294_ARATH
vmacro00510	sp|Q56WD9|THIK2_ARATH
vmacro00511	sp|Q6TPH1|PPA23_ARATH
vmacro00513	sp|Q944R1|PLY15_ARATH
vmacro00514	sp|F6HS55|ITPA_VITVI
vmacro00515	sp|Q9LHP4|RCH2_ARATH
vmacro00518	sp|Q9FLD7|GT14A_ARATH
